,rank,name,code,nowPrice,totalPrice,volume
290,291,TIGER 단기채권액티브,272580,"50,355","4,060",257
291,292,KODEX Top5PlusTR,315930,"12,035","4,044","3,569"
292,293,드림텍,192650,"6,510","4,039","991,312"
293,294,케이씨텍,281820,"20,350","4,037","119,444"
294,295,한국콜마홀딩스,024720,"22,500","4,036","119,468"
295,296,세방전지,004490,"28,700","4,018","57,546"
296,297,부산가스,015350,"36,350","3,998",978
297,298,LF,093050,"13,550","3,962","124,751"
298,299,맵스리얼티1,094800,"4,250","3,945","118,975"
299,300,미원에스씨,268280,"76,800","3,917",931
300,301,남해화학,025860,"7,850","3,900","272,259"
301,302,KOSEF 200TR,294400,"31,160","3,895","5,185"
302,303,일진다이아,081000,"27,400","3,892","166,141"
303,304,대교,019680,"4,555","3,858","258,185"
304,305,삼진제약,005500,"27,700","3,850","202,570"
305,306,아이마켓코리아,122900,"10,700","3,846","47,688"
306,307,스카이라이프,053210,"8,040","3,845","259,840"
307,308,KODEX 선진국MSCI World,251350,"14,560","3,844","16,088"
308,309,경방,000050,"14,000","3,838","471,336"
309,310,현대건설기계,267270,"19,400","3,822","143,028"
310,311,KINDEX 단기통안채,190620,"100,670","3,808",630
311,312,우리종금,010050,564,"3,802","1,634,817"
312,313,하이트진로홀딩스,000140,"16,300","3,783","48,296"
313,314,광동제약,009290,"7,210","3,780","423,956"
314,315,유니드,014830,"42,050","3,738","22,001"
315,316,효성첨단소재,298050,"83,200","3,727","20,063"
316,317,이리츠코크렙,088260,"5,880","3,724","48,846"
317,318,서울가스,017390,"74,400","3,720",128
318,319,LG전자우,066575,"21,500","3,695","67,892"
319,320,한화투자증권,003530,"1,720","3,690","876,019"
320,321,한국단자,025540,"35,250","3,671","53,233"
321,322,SK렌터카,068400,"10,150","3,630","74,076"
322,323,하나제약,293480,"22,250","3,604","48,050"
323,324,한국카본,017960,"8,170","3,592","1,310,168"
324,325,효성화학,298000,"112,500","3,589","16,173"
325,326,농심홀딩스,072710,"76,300","3,539","4,164"
326,327,JW홀딩스,096760,"5,300","3,522","1,122,478"
327,328,진원생명과학,011000,"10,600","3,511","2,989,617"
328,329,세아베스틸,001430,"9,720","3,486","125,990"
329,330,미원상사,002840,"69,800","3,469",612
330,331,송원산업,004430,"14,450","3,468","279,903"
331,332,율촌화학,008730,"13,900","3,447","77,502"
332,333,한솔제지,213500,"14,450","3,439","125,194"
333,334,동양,001520,"1,430","3,413","3,245,354"
334,335,HANARO 단기통안채,306540,"102,610","3,403",2
335,336,TIGER 원유선물Enhanced(H),130680,"1,715","3,401","6,403,494"
336,337,코스모신소재,005070,"11,600","3,393","833,802"
337,338,LG헬로비전,037560,"4,355","3,373","217,752"
338,339,신한알파리츠,293940,"7,070","3,367","78,621"
339,340,동성제약,002210,"12,900","3,363","190,180"
340,341,한일시멘트,300720,"81,000","3,357","6,298"
341,342,한라홀딩스,060980,"31,750","3,325","50,981"
342,343,TIGER 코스닥150,232080,"10,960","3,306","677,169"
343,344,한국자산신탁,123890,"2,655","3,292","797,338"
344,345,한국쉘석유,002960,"253,000","3,289","4,314"
345,346,일동제약,249420,"13,800","3,285","1,981,193"
346,347,퍼시스,016800,"28,300","3,254","1,226"
347,348,삼호,001880,"21,400","3,248","67,040"
348,349,한독,002390,"23,500","3,234","56,335"
349,350,동화약품,000020,"11,550","3,226","4,450,195"
350,351,TIGER 200 IT,139260,"22,700","3,223","125,579"
351,352,엔에스쇼핑,138250,"9,550","3,218","238,966"
352,353,진에어,272450,"10,700","3,210","95,454"
353,354,유나이티드제약,033270,"19,600","3,181","263,447"
354,355,신영증권우,001725,"44,900","3,167",408
355,356,SMART 200TR,295040,"8,945","3,153","381,816"
356,357,제일파마홀딩스,002620,"19,500","3,115","55,976"
357,358,대원제약,003220,"15,300","3,097","135,067"
358,359,잇츠한불,226320,"14,050","3,081","46,501"
359,360,SBS,034120,"16,850","3,076","134,008"
360,361,현대에너지솔루션,322000,"27,150","3,041","359,010"
361,362,SK증권,001510,638,"3,015","1,738,809"
362,363,진흥기업,002780,"2,070","3,011","72,648"
363,364,현대일렉트릭,267260,"8,270","2,981","227,023"
364,365,조선내화,000480,"74,200","2,968","1,069"
365,366,도화엔지니어링,002150,"8,770","2,957","88,340"
366,367,삼성SDI우,006405,"180,500","2,920","14,946"
367,368,경인양행,012610,"7,100","2,904","495,610"
368,369,센트랄모텍,308170,"33,450","2,880","209,952"
369,370,고려제강,002240,"14,400","2,880","53,339"
370,371,현대리바트,079430,"14,000","2,875","546,383"
371,372,AK홀딩스,006840,"21,700","2,875","52,602"
372,373,웅진씽크빅,095720,"2,405","2,824","345,985"
373,374,조광피혁,004700,"42,350","2,816","31,771"
374,375,한일홀딩스,003300,"46,950","2,814","1,741"
375,376,세아홀딩스,058650,"70,300","2,812",270
376,377,팜스코,036580,"7,650","2,810","503,924"
377,378,JW생명과학,234080,"17,600","2,787","132,214"
378,379,아세아제지,002310,"31,100","2,785","45,345"
379,380,대상홀딩스,084690,"7,670","2,778","2,694,309"
380,381,유진투자증권,001200,"2,865","2,775","555,049"
381,382,경농,002100,"12,450","2,701","324,906"
382,383,해성디에스,195870,"15,850","2,694","79,474"
383,384,한화손해보험,000370,"2,305","2,691","982,586"
384,385,CJ4우(전환),00104K,"63,400","2,680","11,486"
385,386,삼천리,004690,"65,100","2,640","31,609"
386,387,코리아오토글라스,152330,"13,150","2,630","37,909"
387,388,SBS미디어홀딩스,101060,"1,875","2,623","90,725"
388,389,삼영무역,002810,"14,200","2,622","5,374"
389,390,현대차증권,001500,"8,880","2,605","63,386"
390,391,KBSTAR 코스피,302450,"20,315","2,580","1,581"
391,392,태림포장,011280,"3,630","2,570","346,972"
392,393,케이씨씨글라스,344820,"30,700","2,564","692,109"
393,394,신도리코,029530,"25,350","2,555","58,270"
394,395,삼성 인버스 2X 천연가스 선물 ETN,530038,"25,335","2,534","9,000"
395,396,금호산업,002990,"6,910","2,531","537,385"
396,397,모나리자,012690,"6,870","2,512","1,952,190"
397,398,환인제약,016580,"13,500","2,511","186,536"
398,399,모토닉,009680,"7,540","2,488","11,329"
399,400,케이씨,029460,"18,350","2,487","81,318"
400,401,에이블씨엔씨,078520,"9,200","2,487","100,035"
401,402,삼양패키징,272550,"17,500","2,487","15,369"
402,403,한화3우B,00088K,"11,000","2,472","53,430"
403,404,교보증권,030610,"6,820","2,455","314,565"
404,405,디티알오토모티브,007340,"24,550","2,454","46,743"
405,406,아모레G3우(전환),00279K,"34,500","2,447","10,241"
406,407,E1,017940,"35,650","2,446","44,716"
407,408,코오롱글로벌,003070,"9,640","2,430","293,197"
408,409,엘브이엠씨홀딩스,900140,"4,750","2,428","1,777,868"
409,410,쌍용차,003620,"1,620","2,427","2,178,474"
410,411,KPX케미칼,025000,"50,000","2,420","13,288"
411,412,삼익THK,004380,"11,500","2,415","28,781"
412,413,S&T홀딩스,036530,"14,800","2,413","3,379"
413,414,삼성제약,001360,"3,900","2,400","812,183"
414,415,휴비스,079980,"6,900","2,380","548,738"
415,416,선진,136490,"9,960","2,368","219,990"
416,417,인스코비,006490,"2,385","2,352","1,709,570"
